Movie Name,Genre,Theme
Interstellar,Sci-Fi,Space Exploration
Inception,Sci-Fi,Mind-bending
The Godfather,Crime,Family
Titanic,Romance,Tragedy
The Dark Knight,Action,Heroism
Forrest Gump,Drama,Life Journey
The Matrix,Sci-Fi,Reality
Schindler's List,History,Holocaust
Pulp Fiction,Crime,Nonlinear Storytelling
The Shawshank Redemption,Drama,Hope
The Lion King,Animation,Coming of Age
Jersey,Drama,Motivation
Star Wars,Sci-Fi,Adventure
The Lord of the Rings: The Return of the King,Fantasy,Heroic Journey
Avatar,Sci-Fi,Environmentalism
Gladiator,Action,Revenge
Black Panther,Action,Cultural Identity
La La Land,Romance,Chasing Dreams
The Social Network,Drama,Innovation
The Avengers,Action,Teamwork
Parasite,Thriller,Social Inequality
The Silence of the Lambs,Horror,Crime Investigation
Coco,Animation,Family
The Wolf of Wall Street,Biography,Ambition
Frozen,Animation,Sisterhood
The Pursuit of Happyness,Biography,Determination
Joker,Drama,Psychological Exploration
Braveheart,History,Freedom
Good Will Hunting,Drama,Self-Discovery
Mad Max: Fury Road,Action,Survival
Her,Sci-Fi,Artificial Intelligence
Kalki 2898AD,Sci-Fi, Fight For Tomorrow
Brinda,Thriller, Investigation  